,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Метод запуска,Метод посадки,Тип двигателя,"Размах крыльев, м","Максимальная скорость полета, км/ч",Статус,Производитель,"Полезная нагрузка, кг",Навигация,Диапазон рабочих температур,"Диаметр несущего винта, м","Диагональ рамы, м"
12,СССР,Самолетный тип,8400.0,1.77,,14400.0,Шасси,Шасси,Газотурбинный,7.15,1800.0,Снято с производства,Завод №918,,н/д,,,
13,Великобритания,Самолетный тип,8664.0,,1540.0,13100.0,Шасси,Шасси,Газотурбинный,11.33,962.0,Снято с производства,Gloster,,н/д,,,
14,Россия,Самолетный тип,10000.0,6.0,,16000.0,Шасси,Шасси,Газотурбинный,,1100.0,В разработке,ОКБ Яковлева,1200.0,н/д,,,
15,Россия,Самолетный тип,10000.0,,4000.0,12000.0,Шасси,Шасси,Газотурбинный,11.5,800.0,В разработке,МиГ,6000.0,н/д,,,
16,Испания,Коптерный тип,6.0,0.67,10.0,900.0,Вертикальный,Вертикальный,Электрический,,20.0,В производстве,н/д,,н/д,,,
17,Германия,Вертолетный тип,75.0,2.0,120.0,3100.0,Вертикальный,Вертикальный,Газотурбинный,,110.0,В производстве,EMT,30.0,н/д,,3.0,
18,Израиль,Самолетный тип,4650.0,,7400.0,14000.0,Шасси,Шасси,Газотурбинный,26.0,375.0,В производстве,IAI,1000.0,н/д,,,
19,США,Самолетный тип,4990.0,,4830.0,29000.0,Шасси,Шасси,Газотурбинный,5.87,3900.0,Снято с производства,Lockheed,,н/д,,,
20,СССР,Самолетный тип,5370.0,,1000.0,6000.0,Пусковая установка,Парашютная система,Газотурбинный,3.88,1110.0,Снято с производства,ОКБ Туполева,,н/д,,,
21,Италия,Самолетный тип,5460.0,,600.0,,Шасси,Шасси,ДВС,8.2,360.0,Снято с производства,Aeronautica Lombarda,,н/д,,,
22,Германия,Коптерный тип,1.2,0.47,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Holger Buss,1.0,GPS,,,
23,США,Самолетный тип,3630.0,,2400.0,13200.0,Шасси,Шасси,Газотурбинный,10.3,920.0,Снято с производства,Boeing,2041.0,н/д,,,
24,Франция,Самолетный тип,6000.0,,,14000.0,Пусковая установка,Парашютная система,Газотурбинный,12.5,850.0,В разработке,Dassault Aviation,1500.0,н/д,Нет данных,,
25,США,Самолетный тип,6500.0,30.0,14.5,16500.0,Шасси,Шасси,Газотурбинный,24.75,660.0,Снято с производства,Ryan Aeronautical Company,3950.0,н/д,,,
26,США,Самолетный тип,5897.0,24.0,14.5,16500.0,Шасси,Шасси,Газотурбинный,27.0,625.0,Снято с производства,Boeing,,н/д,,,
27,СССР,Самолетный тип,7300.0,0.47,,16500.0,Шасси,Шасси,Газотурбинный,9.0,1200.0,Снято с производства,МиГ,,н/д,,,
28,СССР,Самолетный тип,8400.0,1.77,,14400.0,Шасси,Шасси,Газотурбинный,7.15,1800.0,Снято с производства,Завод №918,,н/д,,,
29,Великобритания,Самолетный тип,8664.0,,1540.0,13100.0,Шасси,Шасси,Газотурбинный,11.33,962.0,Снято с производства,Gloster,,н/д,,,
30,Россия,Самолетный тип,10000.0,6.0,,16000.0,Шасси,Шасси,Газотурбинный,,1100.0,В разработке,ОКБ Яковлева,1200.0,н/д,,,
31,Россия,Самолетный тип,10000.0,,4000.0,12000.0,Шасси,Шасси,Газотурбинный,11.5,800.0,В разработке,МиГ,6000.0,н/д,,,
32,США,Самолетный тип,5897.0,24.0,14.5,16500.0,Шасси,Шасси,Газотурбинный,27.0,625.0,Снято с производства,Boeing,,н/д,,,
33,США,Самолетный тип,6500.0,30.0,14.5,16500.0,Шасси,Шасси,Газотурбинный,24.75,660.0,Снято с производства,Ryan Aeronautical Company,3950.0,н/д,,,
34,Франция,Самолетный тип,6000.0,,,14000.0,Пусковая установка,Парашютная система,Газотурбинный,12.5,850.0,В разработке,Dassault Aviation,1500.0,н/д,Нет данных,,
35,США,Самолетный тип,3630.0,,2400.0,13200.0,Шасси,Шасси,Газотурбинный,10.3,920.0,Снято с производства,Boeing,2041.0,н/д,,,
36,Германия,Коптерный тип,1.2,0.47,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Holger Buss,1.0,GPS,,,
37,Германия,Вертолетный тип,75.0,2.0,120.0,3100.0,Вертикальный,Вертикальный,Газотурбинный,,110.0,В производстве,EMT,30.0,н/д,,3.0,
38,СССР,Самолетный тип,5370.0,,1000.0,6000.0,Пусковая установка,Парашютная система,Газотурбинный,3.88,1110.0,Снято с производства,ОКБ Туполева,,н/д,,,
39,США,Самолетный тип,4990.0,,4830.0,29000.0,Шасси,Шасси,Газотурбинный,5.87,3900.0,Снято с производства,Lockheed,,н/д,,,
40,Израиль,Самолетный тип,4650.0,,7400.0,14000.0,Шасси,Шасси,Газотурбинный,26.0,375.0,В производстве,IAI,1000.0,н/д,,,
41,СССР,Самолетный тип,35610.0,,3680.0,22800.0,Пусковая установка,Парашютная система,Газотурбинный,8.41,2700.0,Снято с производства,ОКБ Туполева,,н/д,Нет данных,,
42,США,Самолетный тип,,20.0,,18288.0,Шасси,Шасси,Газотурбинный,20.1,740.0,В производстве,General Atomics Aeronautical Systems,,н/д,,,
43,США,Самолетный тип,2700.0,,685.0,,Шасси,Шасси,ДВС,14.6,225.0,Снято с производства,Interstate Aircraft Company,,н/д,,,
44,США,Самолетный тип,2450.0,,3700.0,24400.0,Шасси,Шасси,Газотурбинный,14.5,890.0,Снято с производства,Ryan Aeronautical Company,725.0,н/д,,,
45,СССР,Самолетный тип,2050.0,,4000.0,100000.0,Пусковая установка,Парашютная система,Газотурбинный,,11900.0,Снято с производства,ОКБ Туполева,,н/д,,,
46,США,Самолетный тип,1737.0,,3862.0,21336.0,Пусковая установка,Парашютная система,Газотурбинный,9.75,676.0,Снято с производства,Teledyne Ryan,,н/д,,,
47,Великобритания,Самолетный тип,1724.0,,,6100.0,н/д,Шасси,ДВС,9.45,277.0,Снято с производства,Airspeed (1934) Ltd,,н/д,,,
48,Израиль,Самолетный тип,4650.0,,7400.0,14000.0,Шасси,Шасси,Газотурбинный,26.0,375.0,В производстве,IAI,1000.0,н/д,,,
49,Германия,Вертолетный тип,75.0,2.0,120.0,3100.0,Вертикальный,Вертикальный,Газотурбинный,,110.0,В производстве,EMT,30.0,н/д,,3.0,
50,США,Самолетный тип,,20.0,,18288.0,Шасси,Шасси,Газотурбинный,20.1,740.0,В производстве,General Atomics Aeronautical Systems,,н/д,,,
51,США,Самолетный тип,2700.0,,685.0,,Шасси,Шасси,ДВС,14.6,225.0,Снято с производства,Interstate Aircraft Company,,н/д,,,
52,США,Самолетный тип,2450.0,,3700.0,24400.0,Шасси,Шасси,Газотурбинный,14.5,890.0,Снято с производства,Ryan Aeronautical Company,725.0,н/д,,,
53,СССР,Самолетный тип,2050.0,,4000.0,100000.0,Пусковая установка,Парашютная система,Газотурбинный,,11900.0,Снято с производства,ОКБ Туполева,,н/д,,,
54,США,Самолетный тип,1737.0,,3862.0,21336.0,Пусковая установка,Парашютная система,Газотурбинный,9.75,676.0,Снято с производства,Teledyne Ryan,,н/д,,,
55,Великобритания,Самолетный тип,1724.0,,,6100.0,н/д,Шасси,ДВС,9.45,277.0,Снято с производства,Airspeed (1934) Ltd,,н/д,,,
56,Китай,Самолетный тип,1700.0,3.0,2500.0,17500.0,Пусковая установка,Парашютная система,Газотурбинный,9.76,800.0,Снято с производства,BUAA,65.0,н/д,,,
57,Австралия,Самолетный тип,1650.0,,1000.0,19200.0,Шасси,Шасси,Газотурбинный,7.62,908.0,Снято с производства,Government Aircraft Factory,,н/д,Нет данных,,
58,Израиль,Самолетный тип,46.0,5.0,50.0,4600.0,Пусковая установка,Парашютная система,ДВС,3.6,205.0,Снято с производства,Silver Arrow,25.0,н/д,,,
59,США,Самолетный тип,1451.0,,1207.0,15240.0,Пусковая установка,Парашютная система,Газотурбинный,3.96,1038.0,Снято с производства,Ryan Aeronautical Company,,н/д,,,
60,СССР,Самолетный тип,1400.0,,360.0,5000.0,Пусковая установка,Шасси,Газотурбинный,2.25,950.0,Снято с производства,ОКБ Туполева,,н/д,,,
61,СССР,Самолетный тип,1230.0,0.28,180.0,1000.0,Пусковая установка,Шасси,Газотурбинный,2.24,950.0,Снято с производства,ОКБ Туполева,,н/д,,,
62,США,Самолетный тип,1134.0,1.22,322.0,18000.0,Пусковая установка,Парашютная система,Газотурбинный,2.94,1700.0,Снято с производства,Teledyne Ryan,454.0,н/д,,,
63,США,Самолетный тип,6407.0,96.0,,19800.0,Шасси,Шасси,ДВС,45.72,270.0,В разработке,Boeing Phantom Works,907.0,н/д,,,
64,США,Самолетный тип,115.0,18.0,250.0,5200.0,Пусковая установка,В сетку,ДВС,4.3,165.0,В производстве,Northrop Grumman,56.6,н/д,,,
65,США,Самолетный тип,6350.0,,3889.0,12100.0,Шасси,Шасси,Газотурбинный,18.9,990.0,Снято с производства,Northrop Grumman,13865.0,н/д,,18.92,
66,Франция,Самолетный тип,300.0,20.0,500.0,7600.0,Шасси,Шасси,ДВС,18.0,310.0,В разработке,Sagem SA,250.0,н/д,Нет данных,,
67,США,Самолетный тип,1740.0,,2778.0,12192.0,Шасси,Шасси,Газотурбинный,5.94,990.0,Снято с производства,Northrop Grumman,472.0,н/д,,5.94,
68,США,Вертолетный тип,2948.0,20.0,4170.0,9150.0,Вертикальный,Вертикальный,Газотурбинный,,305.0,В производстве,Frontier Systems Inc.,1814.0,н/д,,11.0,
69,США,Самолетный тип,3855.0,8.0,925.0,13716.0,Шасси,Шасси,Газотурбинный,21.03,460.0,Снято с производства,Lockheed,1878.0,н/д,,,
70,США,Самолетный тип,16550.0,,2400.0,12200.0,Шасси,Шасси,Газотурбинный,15.0,1020.0,В разработке,Boeing,,н/д,,,
71,Германия,Вертолетный тип,75.0,2.0,120.0,3100.0,Вертикальный,Вертикальный,Газотурбинный,,110.0,В производстве,EMT,30.0,н/д,,3.0,
72,США,Самолетный тип,1134.0,1.22,322.0,18000.0,Пусковая установка,Парашютная система,Газотурбинный,2.94,1700.0,Снято с производства,Teledyne Ryan,454.0,н/д,,,
73,СССР,Самолетный тип,1230.0,0.28,180.0,1000.0,Пусковая установка,Шасси,Газотурбинный,2.24,950.0,Снято с производства,ОКБ Туполева,,н/д,,,
74,СССР,Самолетный тип,1400.0,,360.0,5000.0,Пусковая установка,Шасси,Газотурбинный,2.25,950.0,Снято с производства,ОКБ Туполева,,н/д,,,
75,США,Самолетный тип,1451.0,,1207.0,15240.0,Пусковая установка,Парашютная система,Газотурбинный,3.96,1038.0,Снято с производства,Ryan Aeronautical Company,,н/д,,,
76,Израиль,Самолетный тип,46.0,5.0,50.0,4600.0,Пусковая установка,Парашютная система,ДВС,3.6,205.0,Снято с производства,Silver Arrow,25.0,н/д,,,
77,Австралия,Самолетный тип,1650.0,,1000.0,19200.0,Шасси,Шасси,Газотурбинный,7.62,908.0,Снято с производства,Government Aircraft Factory,,н/д,Нет данных,,
78,Китай,Самолетный тип,1700.0,3.0,2500.0,17500.0,Пусковая установка,Парашютная система,Газотурбинный,9.76,800.0,Снято с производства,BUAA,65.0,н/д,,,
79,Великобритания,Самолетный тип,1724.0,,,6100.0,н/д,Шасси,ДВС,9.45,277.0,Снято с производства,Airspeed (1934) Ltd,,н/д,,,
80,Китай,Самолетный тип,640.0,12.0,200.0,,Пусковая установка,Шасси,ДВС,8.0,220.0,В производстве,China Aerospace Science and Industry Corporation,80.0,GPS,,,
81,Индия,Самолетный тип,15000.0,48.0,1200.0,10500.0,Шасси,Шасси,Газотурбинный,12.0,920.0,В производстве,Defense Research and Development Organization,,н/д,,,
82,Индия,Самолетный тип,720.0,15.0,250.0,10668.0,Шасси,Шасси,ДВС,7.9,175.0,В производстве,Defense Research and Development Organization,350.0,н/д,,,
83,Израиль,Самолетный тип,1200.0,28.0,750.0,9200.0,Шасси,Шасси,ДВС,13.5,350.0,В производстве,Aeronautics Defense Systems,300.0,н/д,Нет данных,,
84,США,Самолетный тип,115.0,18.0,250.0,5200.0,Пусковая установка,В сетку,ДВС,4.3,165.0,В производстве,Northrop Grumman,56.6,н/д,,,
85,Германия,Вертолетный тип,75.0,2.0,120.0,3100.0,Вертикальный,Вертикальный,Газотурбинный,,110.0,В производстве,EMT,30.0,н/д,,3.0,
86,Франция,Самолетный тип,300.0,20.0,500.0,7600.0,Шасси,Шасси,ДВС,18.0,310.0,В разработке,Sagem SA,250.0,н/д,Нет данных,,
87,США,Самолетный тип,1740.0,,2778.0,12192.0,Шасси,Шасси,Газотурбинный,5.94,990.0,Снято с производства,Northrop Grumman,472.0,н/д,,5.94,
88,США,Вертолетный тип,2948.0,20.0,4170.0,9150.0,Вертикальный,Вертикальный,Газотурбинный,,305.0,В производстве,Frontier Systems Inc.,1814.0,н/д,,11.0,
89,США,Самолетный тип,3855.0,8.0,925.0,13716.0,Шасси,Шасси,Газотурбинный,21.03,460.0,Снято с производства,Lockheed,1878.0,н/д,,,
90,США,Самолетный тип,16550.0,,2400.0,12200.0,Шасси,Шасси,Газотурбинный,15.0,1020.0,В разработке,Boeing,,н/д,,,
91,США,Самолетный тип,6407.0,96.0,,19800.0,Шасси,Шасси,ДВС,45.72,270.0,В разработке,Boeing Phantom Works,907.0,н/д,,,
92,США,Самолетный тип,1134.0,1.22,322.0,18000.0,Пусковая установка,Парашютная система,Газотурбинный,2.94,1700.0,Снято с производства,Teledyne Ryan,454.0,н/д,,,
93,СССР,Самолетный тип,1230.0,0.28,180.0,1000.0,Пусковая установка,Шасси,Газотурбинный,2.24,950.0,Снято с производства,ОКБ Туполева,,н/д,,,
94,СССР,Самолетный тип,1400.0,,360.0,5000.0,Пусковая установка,Шасси,Газотурбинный,2.25,950.0,Снято с производства,ОКБ Туполева,,н/д,,,
95,США,Самолетный тип,1451.0,,1207.0,15240.0,Пусковая установка,Парашютная система,Газотурбинный,3.96,1038.0,Снято с производства,Ryan Aeronautical Company,,н/д,,,
96,Франция,Самолетный тип,75.0,4.0,50.0,3000.0,Шасси,Шасси,ДВС,2.6,320.0,Снято с производства,"Alcore Technologies, Dassault Electronique",20.0,н/д,Нет данных,,
97,Франция,Самолетный тип,85.0,5.0,150.0,3500.0,Пусковая установка,Парашютная система,ДВС,3.6,110.0,Снято с производства,"CAC, Дассо",62.0,н/д,Нет данных,,
98,Франция,Самолетный тип,115.0,3.0,,4500.0,Пусковая установка,Парашютная система,ДВС,2.75,240.0,Снято с производства,Sagem SA,5.0,н/д,Нет данных,,
99,Франция,Самолетный тип,320.0,6.0,150.0,5100.0,Пусковая установка,Парашютная система,ДВС,6.5,120.0,В производстве,Sagem SA,50.0,н/д,,,
100,Франция,Самолетный тип,0.5,0.5,3.0,2100.0,С руки,Парашютная система,Электрический,0.54,75.0,В производстве,Thales Group,0.07,н/д,Нет данных,,
101,Франция,Вертолетный тип,25.0,1.0,15.0,2100.0,Вертикальный,Вертикальный,ДВС,,60.0,В производстве,Survey Copter,,н/д,Нет данных,2.2,
102,Франция,Вертолетный тип,15.0,0.75,15.0,2500.0,Вертикальный,Вертикальный,ДВС,,40.0,В производстве,Survey Copter,5.0,н/д,Нет данных,1.8,
103,Франция,Вертолетный тип,12.0,0.5,40.0,1500.0,Вертикальный,Вертикальный,Электрический,,40.0,В производстве,Survey Copter,15.0,н/д,Нет данных,1.8,
104,Франция,Самолетный тип,10.0,2.0,40.0,2500.0,"Пусковая установка, С руки",Парашютная система,Электрический,3.0,100.0,В производстве,Survey Copter,2.0,н/д,Нет данных,,
105,Франция,Самолетный тип,7.5,2.0,45.0,1850.0,С руки,Парашютная система,Электрический,3.6,80.0,В разработке,Cassidian,1.1,н/д,Нет данных,,
106,Франция,Вертолетный тип,25.0,1.5,40.0,2100.0,Вертикальный,Вертикальный,ДВС,,70.0,В производстве,Survey Copter,10.0,н/д,0°С..+50°С,2.2,
107,Бельгия,Самолетный тип,147.0,0.42,93.0,,Шасси,Шасси,Газотурбинный,1.72,325.0,Снято с производства,Thomson-CSF Electronics Belgium,46.0,н/д,,,
108,Австрия,Самолетный тип,225.0,15.0,60.0,,Пусковая установка,Шасси,ДВС,5.03,310.0,Снято с производства,C.Craft Wozlmayer GmbH,,н/д,,,
109,Австрия,Вертолетный тип,200.0,6.0,180.0,1700.0,Вертикальный,Вертикальный,ДВС,,102.0,В производстве,"Schiebel, Горизонт",50.0,"GPS, ГЛОНАСС",Нет данных,3.02,
110,Испания,Самолетный тип,20.0,8.0,400.0,2000.0,Пусковая установка,Парашютная система,ДВС,3.0,130.0,В производстве,Aerovision,,н/д,,,
111,Испания,Самолетный тип,45.0,3.0,50.0,4100.0,Пусковая установка,Парашютная система,ДВС,3.48,200.0,В разработке,Instituto Nacional De Tecnica Aeroespacial,,н/д,,,
112,Чехия,Самолетный тип,145.0,3.0,100.0,4000.0,Пусковая установка,Парашютная система,ДВС,4.12,180.0,В производстве,Технический институт ВВС и ПВО,,н/д,,,
113,Турция,Самолетный тип,5.0,1.5,20.0,4500.0,С руки,Парашютная система,Электрический,2.0,90.0,В производстве,Baykar Machine Inc,,н/д,,,
114,Турция,Вертолетный тип,340.0,4.0,150.0,3000.0,Вертикальный,Вертикальный,ДВС,,185.0,В производстве,Turkish Aerospace Industries,50.0,н/д,,5.6,
115,Турция,Самолетный тип,1600.0,24.0,200.0,9000.0,Пусковая установка,Парашютная система,Газотурбинный,17.3,220.0,В производстве,Turkish Aerospace Industries,200.0,н/д,,,
116,Пакистан,Самолетный тип,80.0,,80.0,4500.0,Пусковая установка,Парашютная система,ДВС,4.2,130.0,Снято с производства,Integrated Dynamics,,н/д,,,
117,Пакистан,Самолетный тип,130.0,5.5,500.0,58.0,Пусковая установка,Парашютная система,ДВС,3.8,180.0,Снято с производства,Global Industrial Defense Solutions,,н/д,,,
118,Пакистан,Самолетный тип,90.0,6.0,200.0,3660.0,Шасси,"Парашютная система, Шасси",ДВС,5.2,,Снято с производства,Integrated Dynamics,,н/д,,,
119,Пакистан,Самолетный тип,35.0,,50.0,4100.0,Шасси,Шасси,ДВС,3.22,205.0,Снято с производства,Integrated Dynamics,,н/д,,,
120,Пакистан,Самолетный тип,80.0,4.0,100.0,4100.0,Шасси,"Парашютная система, Шасси",ДВС,4.5,205.0,В производстве,Integrated Dynamics,,н/д,,,
121,Пакистан,Самолетный тип,245.0,8.0,1000.0,4700.0,Шасси,Шасси,ДВС,6.6,150.0,В производстве,Satuma,,н/д,,,
122,Пакистан,Самолетный тип,50.0,2.5,100.0,4100.0,Пусковая установка,Парашютная система,ДВС,2.6,120.0,В разработке,Satuma,,н/д,,,
123,Пакистан,Самолетный тип,145.0,5.0,550.0,3000.0,Шасси,Шасси,ДВС,4.92,125.0,В производстве,Satuma,,н/д,,,
124,Пакистан,Самолетный тип,40.0,1.5,50.0,3100.0,Шасси,Шасси,ДВС,3.56,120.0,В производстве,Satuma,,н/д,,,
125,Пакистан,Самолетный тип,70.0,1.5,50.0,5000.0,Пусковая установка,Парашютная система,ДВС,3.05,300.0,В производстве,Satuma,,н/д,,,
126,Пакистан,Самолетный тип,68.0,1.5,10.0,5000.0,Пусковая установка,Парашютная система,ДВС,3.05,300.0,В производстве,Satuma,,н/д,,,
127,Тунис,Самолетный тип,125.0,13.0,,5000.0,Пусковая установка,Парашютная система,ДВС,3.8,,Снято с производства,Tunisia Aero Technologies sarl,34.0,н/д,,,
128,Тайвань,Самолетный тип,120.0,5.0,250.0,2640.0,Шасси,Шасси,ДВС,5.0,180.0,Снято с производства,Национальный институт науки и технологий Чун-Шань,,н/д,,,
129,Тайвань,Самолетный тип,450.0,10.0,120.0,5000.0,Шасси,Шасси,ДВС,8.7,180.0,В производстве,Чжуншаньский институт науки и технологии,,н/д,,,
130,Япония,Вертолетный тип,94.0,1.0,50.0,4100.0,Вертикальный,Вертикальный,ДВС,,105.0,В производстве,Yamaha Motor Company,,GPS,,3.1,
131,Япония,Коптерный тип,0.35,0.13,,,Вертикальный,Вертикальный,Электрический,,60.0,В разработке,Self Defence Forces,,н/д,Нет данных,,
132,Казахстан,Самолетный тип,3.0,,20.0,3000.0,"Пусковая установка, С руки",Парашютная система,Электрический,1.47,105.0,В производстве,Як-Алакон,,н/д,,,
133,Казахстан,Самолетный тип,200.0,12.0,200.0,5000.0,Шасси,Шасси,ДВС,5.34,210.0,В производстве,Як-Алакон,,н/д,,,
134,Швеция,Вертолетный тип,95.0,4.0,100.0,3100.0,Вертикальный,Вертикальный,ДВС,,120.0,В производстве,Saab,,н/д,Нет данных,3.3,
135,Швейцария,Вертолетный тип,350.0,2.5,100.0,450.0,Вертикальный,Вертикальный,Газотурбинный,,,В разработке,Unmanned Systems,,н/д,Нет данных,,
136,Аргентина,Вертолетный тип,450.0,10.0,1100.0,4500.0,Вертикальный,Вертикальный,ДВС,,190.0,В производстве,Aerodreams,230.0,н/д,,6.0,
137,Аргентина,Вертолетный тип,8.0,1.0,30.0,1000.0,Вертикальный,Вертикальный,Электрический,1.8,40.0,В производстве,Nostromo Defensa,,н/д,,1.8,
138,Аргентина,Самолетный тип,30.0,6.0,740.0,2500.0,Шасси,Шасси,ДВС,4.0,145.0,В производстве,Nostromo Defensa,,н/д,,,
139,Аргентина,Самолетный тип,160.0,1.0,,5900.0,Пусковая установка,На фюзеляж,ДВС,3.6,340.0,Снято с производства,FMA,,н/д,,,
140,Аргентина,Самолетный тип,60.0,5.0,40.0,2000.0,Пусковая установка,Шасси,ДВС,4.6,170.0,В производстве,Управление разработки и производства вооружения СВ Аргентины,20.0,н/д,,,
141,Аргентина,Самолетный тип,48.0,15.0,750.0,4000.0,"Пусковая установка, Шасси","Парашютная система, Шасси",ДВС,3.6,160.0,В производстве,Aerodreams,,н/д,,,
142,Аргентина,Самолетный тип,3.5,1.0,20.0,4000.0,Пусковая установка,На фюзеляж,Электрический,2.2,90.0,В производстве,Nostromo Defensa,,н/д,,,
143,Аргентина,Самолетный тип,12.0,1.0,50.0,4100.0,Шасси,Шасси,Электрический,2.5,100.0,В производстве,Nostromo Defensa,,н/д,,,
144,Армения,Самолетный тип,60.0,5.0,580.0,4500.0,Шасси,Шасси,ДВС,4.32,150.0,Снято с производства,Вооруженные силы Армении,,н/д,,,
145,Белоруссия,Самолетный тип,145.0,7.6,705.0,7000.0,"Пусковая установка, Шасси",Шасси,ДВС,5.76,190.0,Снято с производства,"Белспецвнештехника, Системтроникс",45.0,н/д,-25..+50,,
146,Белоруссия,Самолетный тип,34.0,0.3,80.0,3000.0,Шасси,Парашютная система,Газотурбинный,2.82,360.0,Снято с производства,Indela,,н/д,,,
147,Белоруссия,Самолетный тип,33.0,0.3,64.0,3500.0,Шасси,Шасси,Газотурбинный,2.8,330.0,Снято с производства,Indela,,н/д,,,
148,Белоруссия,Вертолетный тип,114.0,5.0,130.0,1500.0,Вертикальный,Вертикальный,ДВС,,90.0,Снято с производства,Indela,33.0,н/д,–35°С..+50°С,3.2,
149,Белоруссия,Вертолетный тип,150.0,5.0,100.0,1500.0,Вертикальный,Вертикальный,ДВС,,130.0,Снято с производства,Indela,,н/д,,3.17,
150,Белоруссия,Самолетный тип,35.0,7.0,50.0,4000.0,Шасси,Шасси,ДВС,6.01,140.0,Снято с производства,Indela,,н/д,,,
151,Белоруссия,Самолетный тип,65.0,10.0,600.0,4000.0,Шасси,Шасси,Электрический,9.1,140.0,Снято с производства,Indela,,н/д,,,
152,Белоруссия,Самолетный тип,85.0,3.0,300.0,3500.0,Шасси,Шасси,ДВС,3.8,150.0,Снято с производства,"ООО ""Кванд ИС""",,н/д,,,
153,СССР,Самолетный тип,120.0,,100.0,,Пусковая установка,Парашютная система,ДВС,2.12,180.0,Снято с производства,ОСКБ-С МАИ,,н/д,Нет данных,,
154,СССР,Самолетный тип,345.0,1.17,,9000.0,Пусковая установка,Шасси,Газотурбинный,2.7,750.0,Снято с производства,"КБ ""СОКОЛ""",,н/д,Нет данных,,
155,СССР,Самолетный тип,360.0,,120.0,,Шасси,Шасси,ДВС,5.86,195.0,Снято с производства,ОСКБ-С МАИ,,н/д,Нет данных,,
156,СССР,Самолетный тип,140.0,,70.0,3000.0,Вертикальный,Парашютная система,Газотурбинный,2.0,600.0,Снято с производства,Эникс,,н/д,Нет данных,,
157,СССР,Самолетный тип,130.0,2.0,60.0,3000.0,Пусковая установка,Парашютная система,ДВС,3.25,,Снято с производства,ОКБ Яковлева,,н/д,Нет данных,,
158,США,Самолетный тип,149.0,5.0,125.0,4570.0,"Пусковая установка, Шасси",Шасси,ДВС,3.89,227.0,В производстве,AAI Corporation,86.0,н/д,,,
159,США,Самолетный тип,211.0,5.0,200.0,3600.0,Пусковая установка,Шасси,ДВС,5.15,185.0,В производстве,AAI Corporation,34.0,GPS,,,
160,США,Самолетный тип,265.0,14.0,200.0,4877.0,Шасси,Шасси,ДВС,6.83,200.0,В производстве,AAI Corporation,,н/д,,,
161,США,Самолетный тип,6.4,1.5,35.0,9200.0,Пусковая установка,Парашютная система,Электрический,1.2,120.0,Снято с производства,BAE Systems,0.9,н/д,,,
162,США,Самолетный тип,27.7,9.0,150.0,4900.0,Пусковая установка,Шасси,ДВС,2.1,200.0,В производстве,Advanced Research Inc.,,н/д,,,
163,США,Самолетный тип,15.0,8.0,20.0,3657.0,Пусковая установка,Шасси,ДВС,2.38,,В производстве,BAE Systems,,н/д,,,
164,США,Самолетный тип,4.12,1.0,5.0,300.0,Пусковая установка,Парашютная система,Электрический,2.74,100.0,Снято с производства,AeroVironment,,н/д,,,
