,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Тип двигателя,"Размах крыльев, м",Статус,Производитель,"Полезная нагрузка, кг",Диапазон рабочих температур,"Макс. скорость, км/ч"
35,Германия,Вертолетный тип,75.0,2.0,120.0,3100.0,Газотурбинный,,В производстве,EMT,30.0,н/д,110.0
36,СССР,Самолетный тип,5370.0,,1000.0,6000.0,Газотурбинный,3.88,Снято с производства,ОКБ Туполева,,н/д,1110.0
37,США,Самолетный тип,4990.0,,4830.0,29000.0,Газотурбинный,5.87,Снято с производства,Lockheed,,н/д,3900.0
38,Израиль,Самолетный тип,4650.0,,7400.0,14000.0,Газотурбинный,26.0,В производстве,IAI,1000.0,н/д,375.0
39,СССР,Самолетный тип,35610.0,,3680.0,22800.0,Газотурбинный,8.41,Снято с производства,ОКБ Туполева,,н/д,2700.0
40,США,Самолетный тип,,20.0,,18288.0,Газотурбинный,20.1,В производстве,General Atomics Aeronautical Systems,,н/д,740.0
41,США,Самолетный тип,2700.0,,685.0,,ДВС,14.6,Снято с производства,Interstate Aircraft Company,,н/д,225.0
42,США,Самолетный тип,2450.0,,3700.0,24400.0,Газотурбинный,14.5,Снято с производства,Ryan Aeronautical Company,725.0,н/д,890.0
43,СССР,Самолетный тип,2050.0,,4000.0,100000.0,Газотурбинный,,Снято с производства,ОКБ Туполева,,н/д,11900.0
44,США,Самолетный тип,1737.0,,3862.0,21336.0,Газотурбинный,9.75,Снято с производства,Teledyne Ryan,,н/д,676.0
45,Великобритания,Самолетный тип,1724.0,,,6100.0,ДВС,9.45,Снято с производства,Airspeed (1934) Ltd,,н/д,277.0
46,Израиль,Самолетный тип,4650.0,,7400.0,14000.0,Газотурбинный,26.0,В производстве,IAI,1000.0,н/д,375.0
47,Германия,Вертолетный тип,75.0,2.0,120.0,3100.0,Газотурбинный,,В производстве,EMT,30.0,н/д,110.0
48,США,Самолетный тип,,20.0,,18288.0,Газотурбинный,20.1,В производстве,General Atomics Aeronautical Systems,,н/д,740.0
49,США,Самолетный тип,2700.0,,685.0,,ДВС,14.6,Снято с производства,Interstate Aircraft Company,,н/д,225.0
50,США,Самолетный тип,2450.0,,3700.0,24400.0,Газотурбинный,14.5,Снято с производства,Ryan Aeronautical Company,725.0,н/д,890.0
51,СССР,Самолетный тип,2050.0,,4000.0,100000.0,Газотурбинный,,Снято с производства,ОКБ Туполева,,н/д,11900.0
52,США,Самолетный тип,1737.0,,3862.0,21336.0,Газотурбинный,9.75,Снято с производства,Teledyne Ryan,,н/д,676.0
53,Великобритания,Самолетный тип,1724.0,,,6100.0,ДВС,9.45,Снято с производства,Airspeed (1934) Ltd,,н/д,277.0
54,Китай,Самолетный тип,1700.0,3.0,2500.0,17500.0,Газотурбинный,9.76,Снято с производства,BUAA,65.0,н/д,800.0
55,Австралия,Самолетный тип,1650.0,,1000.0,19200.0,Газотурбинный,7.62,Снято с производства,Government Aircraft Factory,,н/д,908.0
56,Израиль,Самолетный тип,46.0,5.0,50.0,4600.0,ДВС,3.6,Снято с производства,Silver Arrow,25.0,н/д,205.0
57,США,Самолетный тип,1451.0,,1207.0,15240.0,Газотурбинный,3.96,Снято с производства,Ryan Aeronautical Company,,н/д,1038.0
58,СССР,Самолетный тип,1400.0,,360.0,5000.0,Газотурбинный,2.25,Снято с производства,ОКБ Туполева,,н/д,950.0
59,СССР,Самолетный тип,1230.0,0.28,180.0,1000.0,Газотурбинный,2.24,Снято с производства,ОКБ Туполева,,н/д,950.0
60,США,Самолетный тип,1134.0,1.22,322.0,18000.0,Газотурбинный,2.94,Снято с производства,Teledyne Ryan,454.0,н/д,1700.0
61,США,Самолетный тип,6407.0,96.0,,19800.0,ДВС,45.72,В разработке,Boeing Phantom Works,907.0,н/д,270.0
62,США,Самолетный тип,115.0,18.0,250.0,5200.0,ДВС,4.3,В производстве,Northrop Grumman,56.6,н/д,165.0
63,США,Самолетный тип,6350.0,,3889.0,12100.0,Газотурбинный,18.9,Снято с производства,Northrop Grumman,13865.0,н/д,990.0
64,Франция,Самолетный тип,300.0,20.0,500.0,7600.0,ДВС,18.0,В разработке,Sagem SA,250.0,н/д,310.0
65,США,Самолетный тип,1740.0,,2778.0,12192.0,Газотурбинный,5.94,Снято с производства,Northrop Grumman,472.0,н/д,990.0
66,США,Вертолетный тип,2948.0,20.0,4170.0,9150.0,Газотурбинный,,В производстве,Frontier Systems Inc.,1814.0,н/д,305.0
67,США,Самолетный тип,3855.0,8.0,925.0,13716.0,Газотурбинный,21.03,Снято с производства,Lockheed,1878.0,н/д,460.0
68,США,Самолетный тип,16550.0,,2400.0,12200.0,Газотурбинный,15.0,В разработке,Boeing,,н/д,1020.0
69,Германия,Вертолетный тип,75.0,2.0,120.0,3100.0,Газотурбинный,,В производстве,EMT,30.0,н/д,110.0
70,США,Самолетный тип,1134.0,1.22,322.0,18000.0,Газотурбинный,2.94,Снято с производства,Teledyne Ryan,454.0,н/д,1700.0
71,СССР,Самолетный тип,1230.0,0.28,180.0,1000.0,Газотурбинный,2.24,Снято с производства,ОКБ Туполева,,н/д,950.0
72,СССР,Самолетный тип,1400.0,,360.0,5000.0,Газотурбинный,2.25,Снято с производства,ОКБ Туполева,,н/д,950.0
73,США,Самолетный тип,1451.0,,1207.0,15240.0,Газотурбинный,3.96,Снято с производства,Ryan Aeronautical Company,,н/д,1038.0
74,Израиль,Самолетный тип,46.0,5.0,50.0,4600.0,ДВС,3.6,Снято с производства,Silver Arrow,25.0,н/д,205.0
75,Австралия,Самолетный тип,1650.0,,1000.0,19200.0,Газотурбинный,7.62,Снято с производства,Government Aircraft Factory,,н/д,908.0
76,Китай,Самолетный тип,1700.0,3.0,2500.0,17500.0,Газотурбинный,9.76,Снято с производства,BUAA,65.0,н/д,800.0
77,Великобритания,Самолетный тип,1724.0,,,6100.0,ДВС,9.45,Снято с производства,Airspeed (1934) Ltd,,н/д,277.0
78,Китай,Самолетный тип,640.0,12.0,200.0,,ДВС,8.0,В производстве,China Aerospace Science and Industry Corporation,80.0,н/д,220.0
79,Индия,Самолетный тип,15000.0,48.0,1200.0,10500.0,Газотурбинный,12.0,В производстве,Defense Research and Development Organization,,н/д,920.0
80,Индия,Самолетный тип,720.0,15.0,250.0,10668.0,ДВС,7.9,В производстве,Defense Research and Development Organization,350.0,н/д,175.0
81,Израиль,Самолетный тип,1200.0,28.0,750.0,9200.0,ДВС,13.5,В производстве,Aeronautics Defense Systems,300.0,н/д,350.0
82,США,Самолетный тип,115.0,18.0,250.0,5200.0,ДВС,4.3,В производстве,Northrop Grumman,56.6,н/д,165.0
83,Германия,Вертолетный тип,75.0,2.0,120.0,3100.0,Газотурбинный,,В производстве,EMT,30.0,н/д,110.0
84,Франция,Самолетный тип,300.0,20.0,500.0,7600.0,ДВС,18.0,В разработке,Sagem SA,250.0,н/д,310.0
85,США,Самолетный тип,1740.0,,2778.0,12192.0,Газотурбинный,5.94,Снято с производства,Northrop Grumman,472.0,н/д,990.0
86,США,Вертолетный тип,2948.0,20.0,4170.0,9150.0,Газотурбинный,,В производстве,Frontier Systems Inc.,1814.0,н/д,305.0
87,США,Самолетный тип,3855.0,8.0,925.0,13716.0,Газотурбинный,21.03,Снято с производства,Lockheed,1878.0,н/д,460.0
88,США,Самолетный тип,16550.0,,2400.0,12200.0,Газотурбинный,15.0,В разработке,Boeing,,н/д,1020.0
89,США,Самолетный тип,6407.0,96.0,,19800.0,ДВС,45.72,В разработке,Boeing Phantom Works,907.0,н/д,270.0
90,США,Самолетный тип,1134.0,1.22,322.0,18000.0,Газотурбинный,2.94,Снято с производства,Teledyne Ryan,454.0,н/д,1700.0
91,СССР,Самолетный тип,1230.0,0.28,180.0,1000.0,Газотурбинный,2.24,Снято с производства,ОКБ Туполева,,н/д,950.0
92,СССР,Самолетный тип,1400.0,,360.0,5000.0,Газотурбинный,2.25,Снято с производства,ОКБ Туполева,,н/д,950.0
93,США,Самолетный тип,1451.0,,1207.0,15240.0,Газотурбинный,3.96,Снято с производства,Ryan Aeronautical Company,,н/д,1038.0
94,Франция,Самолетный тип,75.0,4.0,50.0,3000.0,ДВС,2.6,Снято с производства,"Alcore Technologies, Dassault Electronique",20.0,н/д,320.0
95,Франция,Самолетный тип,85.0,5.0,150.0,3500.0,ДВС,3.6,Снято с производства,"CAC, Дассо",62.0,н/д,110.0
96,Франция,Самолетный тип,115.0,3.0,,4500.0,ДВС,2.75,Снято с производства,Sagem SA,5.0,н/д,240.0
97,Франция,Самолетный тип,320.0,6.0,150.0,5100.0,ДВС,6.5,В производстве,Sagem SA,50.0,н/д,120.0
98,Франция,Самолетный тип,0.5,0.5,3.0,2100.0,Электрический,0.54,В производстве,Thales Group,0.07,н/д,75.0
99,Франция,Вертолетный тип,25.0,1.0,15.0,2100.0,ДВС,,В производстве,Survey Copter,,н/д,60.0
100,Франция,Вертолетный тип,15.0,0.75,15.0,2500.0,ДВС,,В производстве,Survey Copter,5.0,н/д,40.0
101,Франция,Вертолетный тип,12.0,0.5,40.0,1500.0,Электрический,,В производстве,Survey Copter,15.0,н/д,40.0
102,Франция,Самолетный тип,10.0,2.0,40.0,2500.0,Электрический,3.0,В производстве,Survey Copter,2.0,н/д,100.0
103,Франция,Самолетный тип,7.5,2.0,45.0,1850.0,Электрический,3.6,В разработке,Cassidian,1.1,н/д,80.0
104,Франция,Вертолетный тип,25.0,1.5,40.0,2100.0,ДВС,,В производстве,Survey Copter,10.0,0°С..+50°С,70.0
105,Бельгия,Самолетный тип,147.0,0.42,93.0,,Газотурбинный,1.72,Снято с производства,Thomson-CSF Electronics Belgium,46.0,н/д,325.0
106,Австрия,Самолетный тип,225.0,15.0,60.0,,ДВС,5.03,Снято с производства,C.Craft Wozlmayer GmbH,,н/д,310.0
107,Австрия,Вертолетный тип,200.0,6.0,180.0,1700.0,ДВС,,В производстве,"Schiebel, Горизонт",50.0,н/д,102.0
108,Испания,Самолетный тип,20.0,8.0,400.0,2000.0,ДВС,3.0,В производстве,Aerovision,,н/д,130.0
109,Испания,Самолетный тип,45.0,3.0,50.0,4100.0,ДВС,3.48,В разработке,Instituto Nacional De Tecnica Aeroespacial,,н/д,200.0
110,Чехия,Самолетный тип,145.0,3.0,100.0,4000.0,ДВС,4.12,В производстве,Технический институт ВВС и ПВО,,н/д,180.0
111,Турция,Самолетный тип,5.0,1.5,20.0,4500.0,Электрический,2.0,В производстве,Baykar Machine Inc,,н/д,90.0
112,Турция,Вертолетный тип,340.0,4.0,150.0,3000.0,ДВС,,В производстве,Turkish Aerospace Industries,50.0,н/д,185.0
113,Турция,Самолетный тип,1600.0,24.0,200.0,9000.0,Газотурбинный,17.3,В производстве,Turkish Aerospace Industries,200.0,н/д,220.0
114,Пакистан,Самолетный тип,80.0,,80.0,4500.0,ДВС,4.2,Снято с производства,Integrated Dynamics,,н/д,130.0
115,Пакистан,Самолетный тип,130.0,5.0,500.0,58.0,ДВС,3.8,Снято с производства,Global Industrial Defense Solutions,,н/д,180.0
116,Пакистан,Самолетный тип,90.0,6.0,200.0,3660.0,ДВС,5.2,Снято с производства,Integrated Dynamics,,н/д,
117,Пакистан,Самолетный тип,35.0,,50.0,4100.0,ДВС,3.22,Снято с производства,Integrated Dynamics,,н/д,205.0
118,Пакистан,Самолетный тип,80.0,4.0,100.0,4100.0,ДВС,4.5,В производстве,Integrated Dynamics,,н/д,205.0
119,Пакистан,Самолетный тип,245.0,8.0,1000.0,4700.0,ДВС,6.6,В производстве,Satuma,,н/д,150.0
120,Пакистан,Самолетный тип,50.0,2.5,100.0,4100.0,ДВС,2.6,В разработке,Satuma,,н/д,120.0
121,Пакистан,Самолетный тип,145.0,5.0,550.0,3000.0,ДВС,4.92,В производстве,Satuma,,н/д,125.0
122,Пакистан,Самолетный тип,40.0,1.5,50.0,3100.0,ДВС,3.56,В производстве,Satuma,,н/д,120.0
123,Пакистан,Самолетный тип,70.0,1.5,50.0,5000.0,ДВС,3.05,В производстве,Satuma,,н/д,300.0
124,Пакистан,Самолетный тип,68.0,1.5,10.0,5000.0,ДВС,3.05,В производстве,Satuma,,н/д,300.0
125,Тунис,Самолетный тип,125.0,13.0,,5000.0,ДВС,3.8,Снято с производства,Tunisia Aero Technologies sarl,34.0,н/д,
126,Тайвань,Самолетный тип,120.0,5.0,250.0,2640.0,ДВС,5.0,Снято с производства,Национальный институт науки и технологий Чун-Шань,,н/д,180.0
127,Тайвань,Самолетный тип,450.0,10.0,120.0,5000.0,ДВС,8.7,В производстве,Чжуншаньский институт науки и технологии,,н/д,180.0
128,Япония,Вертолетный тип,94.0,1.0,50.0,4100.0,ДВС,,В производстве,Yamaha Motor Company,,н/д,105.0
129,Япония,Коптерный тип,0.35,0.13,,,Электрический,,В разработке,Self Defence Forces,,н/д,60.0
130,Казахстан,Самолетный тип,3.0,,20.0,3000.0,Электрический,1.47,В производстве,Як-Алакон,,н/д,105.0
131,Казахстан,Самолетный тип,200.0,12.0,200.0,5000.0,ДВС,5.34,В производстве,Як-Алакон,,н/д,210.0
132,Швеция,Вертолетный тип,95.0,4.0,100.0,3100.0,ДВС,,В производстве,Saab,,н/д,120.0
133,Швейцария,Вертолетный тип,350.0,2.5,100.0,450.0,Газотурбинный,,В разработке,Unmanned Systems,,н/д,
134,Аргентина,Вертолетный тип,450.0,10.0,1100.0,4500.0,ДВС,,В производстве,Aerodreams,230.0,н/д,190.0
135,Аргентина,Вертолетный тип,8.0,1.0,30.0,1000.0,Электрический,1.8,В производстве,Nostromo Defensa,,н/д,40.0
136,Аргентина,Самолетный тип,30.0,6.0,740.0,2500.0,ДВС,4.0,В производстве,Nostromo Defensa,,н/д,145.0
137,Аргентина,Самолетный тип,160.0,1.0,,5900.0,ДВС,3.6,Снято с производства,FMA,,н/д,340.0
138,Аргентина,Самолетный тип,60.0,5.0,40.0,2000.0,ДВС,4.6,В производстве,Управление разработки и производства вооружения СВ Аргентины,20.0,н/д,170.0
139,Аргентина,Самолетный тип,48.0,15.0,750.0,4000.0,ДВС,3.6,В производстве,Aerodreams,,н/д,160.0
140,Аргентина,Самолетный тип,3.5,1.0,20.0,4000.0,Электрический,2.2,В производстве,Nostromo Defensa,,н/д,90.0
141,Аргентина,Самолетный тип,12.0,1.0,50.0,4100.0,Электрический,2.5,В производстве,Nostromo Defensa,,н/д,100.0
142,Армения,Самолетный тип,60.0,5.0,580.0,4500.0,ДВС,4.32,Снято с производства,Вооруженные силы Армении,,н/д,150.0
143,Белоруссия,Самолетный тип,145.0,7.6,705.0,7000.0,ДВС,5.76,Снято с производства,"Белспецвнештехника, Системтроникс",45.0,-25..+50,190.0
144,Белоруссия,Самолетный тип,34.0,0.3,80.0,3000.0,Газотурбинный,2.82,Снято с производства,Indela,,н/д,360.0
145,Белоруссия,Самолетный тип,33.0,0.3,64.0,3500.0,Газотурбинный,2.8,Снято с производства,Indela,,н/д,330.0
146,Белоруссия,Вертолетный тип,114.0,5.0,130.0,1500.0,ДВС,,Снято с производства,Indela,33.0,–35°С..+50°С,90.0
147,Белоруссия,Вертолетный тип,150.0,5.0,100.0,1500.0,ДВС,,Снято с производства,Indela,,н/д,130.0
148,Белоруссия,Самолетный тип,35.0,7.0,50.0,4000.0,ДВС,6.01,Снято с производства,Indela,,н/д,140.0
149,Белоруссия,Самолетный тип,65.0,10.0,600.0,4000.0,Электрический,9.1,Снято с производства,Indela,,н/д,140.0
150,Белоруссия,Самолетный тип,85.0,3.0,300.0,3500.0,ДВС,3.8,Снято с производства,"ООО ""Кванд ИС""",,н/д,150.0
151,СССР,Самолетный тип,120.0,,100.0,,ДВС,2.12,Снято с производства,ОСКБ-С МАИ,,н/д,180.0
152,СССР,Самолетный тип,345.0,1.17,,9000.0,Газотурбинный,2.7,Снято с производства,"КБ ""СОКОЛ""",,н/д,750.0
153,СССР,Самолетный тип,360.0,,120.0,,ДВС,5.86,Снято с производства,ОСКБ-С МАИ,,н/д,195.0
154,СССР,Самолетный тип,140.0,,70.0,3000.0,Газотурбинный,2.0,Снято с производства,Эникс,,н/д,600.0
155,СССР,Самолетный тип,130.0,2.0,60.0,3000.0,ДВС,3.25,Снято с производства,ОКБ Яковлева,,н/д,
156,США,Самолетный тип,149.0,5.0,125.0,4570.0,ДВС,3.89,В производстве,AAI Corporation,86.0,н/д,227.0
157,США,Самолетный тип,211.0,5.0,200.0,3600.0,ДВС,5.15,В производстве,AAI Corporation,34.0,н/д,185.0
158,США,Самолетный тип,265.0,14.0,200.0,4877.0,ДВС,6.83,В производстве,AAI Corporation,,н/д,200.0
159,США,Самолетный тип,6.4,1.5,35.0,9200.0,Электрический,1.2,Снято с производства,BAE Systems,0.9,н/д,120.0
160,США,Самолетный тип,27.7,9.0,150.0,4900.0,ДВС,2.1,В производстве,Advanced Research Inc.,,н/д,200.0
161,США,Самолетный тип,15.0,8.0,20.0,3657.0,ДВС,2.38,В производстве,BAE Systems,,н/д,
162,США,Самолетный тип,4.12,1.0,5.0,300.0,Электрический,2.74,Снято с производства,AeroVironment,,н/д,100.0
163,США,Самолетный тип,1.9,1.2,10.0,4500.0,Электрический,1.3,В производстве,Aero Vironment,,н/д,100.0
164,США,Самолетный тип,2.7,1.0,10.0,300.0,Электрический,1.14,Снято с производства,AeroVironment,,н/д,65.0
165,США,Самолетный тип,3100.0,168.0,3500.0,20000.0,ДВС,53.0,Снято с производства,AeroVironment,,н/д,110.0
166,США,Самолетный тип,230.0,7.0,200.0,4570.0,ДВС,3.96,Снято с производства,Alliant Techsystems,42.0,н/д,203.0
167,США,Самолетный тип,79.0,16.0,90.0,7100.0,ДВС,5.2,В производстве,Arcturus UAV,34.0,н/д,165.0
168,США,Самолетный тип,1020.0,4.0,300.0,6100.0,Газотурбинный,5.34,Снято с производства,American Dynamics,227.0,н/д,520.0
169,США,Самолетный тип,150.0,16.0,36.0,5100.0,ДВС,5.6,В производстве,BAE Systems,32.0,н/д,200.0
170,США,Самолетный тип,68.0,14.0,120.0,4100.0,ДВС,3.66,В производстве,L-3 Unmanned Systems,20.0,н/д,110.0
171,США,Самолетный тип,664.0,2.0,,12192.0,Газотурбинный,2.99,Снято с производства,Beech Aircraft,,н/д,925.0
172,США,Самолетный тип,1020.0,5.0,257.0,6096.0,Газотурбинный,3.75,Снято с производства,Scaled Composites,430.0,н/д,322.0
173,США,Самолетный тип,15.0,20.0,150.0,5600.0,ДВС,3.11,В производстве,Insitu Inc.,,н/д,100.0
174,США,Самолетный тип,227.0,0.66,150.0,5000.0,Газотурбинный,6.22,Снято с производства,Cranfield Aerospace,49.0,н/д,220.0
175,США,Самолетный тип,592.0,,,5300.0,ДВС,8.2,Снято с производства,Culver,,н/д,225.0
176,США,Самолетный тип,830.0,,580.0,5200.0,ДВС,9.14,Снято с производства,Culver,,н/д,300.0
177,США,Самолетный тип,35.0,12.0,40.0,4100.0,ДВС,3.28,Снято с производства,Dara Aviation,3.62,н/д,80.0
178,США,Самолетный тип,34.0,3.0,50.0,1250.0,ДВС,1.75,Снято с производства,Dara Aviation,13.6,н/д,85.0
179,США,Самолетный тип,63.0,4.0,150.0,2640.0,ДВС,2.31,В производстве,DRS Technologies,,н/д,153.0
180,США,Самолетный тип,572.0,,845.0,3962.0,ДВС,9.14,Снято с производства,ERCO,233.0,н/д,188.0
181,США,Самолетный тип,6940.0,,20.0,7000.0,ДВС,11.0,Снято с производства,Fairchild,,н/д,350.0
182,США,Самолетный тип,1219.0,,,,ДВС,8.9,Снято с производства,Fleetwings,,н/д,298.0
183,США,Самолетный тип,215.0,6.5,50.0,4572.0,ДВС,4.9,В производстве,Freewing Aerial Robotics,70.0,н/д,222.0
184,США,Самолетный тип,1041.0,40.0,250.0,8250.0,Газотурбинный,18.15,Снято с производства,General Atomics Aeronautical Systems,270.0,н/д,216.0
185,США,Самолетный тип,4760.0,24.0,,15000.0,Газотурбинный,20.12,В производстве,General Atomics Aeronautical Systems,1701.0,н/д,482.0
186,США,Самолетный тип,1020.0,40.0,740.0,7920.0,ДВС,14.84,Снято с производства,н/д,590.0,н/д,217.0
187,США,Коптерный тип,25.0,0.6,15.0,3200.0,ДВС,0.35,В производстве,Honeywell,0.4,н/д,130.0
188,США,Самолетный тип,90.0,4.5,150.0,5100.0,ДВС,2.5,В разработке,IntelliTech Microsystems Inc.,14.0,н/д,160.0
189,США,Вертолетный тип,2948.0,3.0,39.6,4600.0,Газотурбинный,,В производстве,Kaman Aircraft,3109.0,н/д,148.0
190,США,Самолетный тип,929.0,24.0,,29524.0,Электрический,75.3,Снято с производства,AeroVironment,329.0,н/д,43.0
191,США,Самолетный тип,223.0,,3200.0,4050.0,Газотурбинный,1.76,Снято с производства,Northrop Grumman,,н/д,927.0
192,США,Самолетный тип,14628.0,36.0,16100.0,19800.0,Газотурбинный,40.0,В производстве,Northrop Grumman,,н/д,630.0
193,США,Вертолетный тип,,6.0,177.0,6096.0,ДВС,,В производстве,Northrop Grumman,,н/д,205.0
194,Канада,Коптерный тип,1.7,0.42,3.0,350.0,Электрический,,Снято с производства,Aeryon Labs,1.7,−30°C.. +50°C,50.0
195,Канада,Самолетный тип,156.0,,70.0,3050.0,Газотурбинный,0.94,Снято с производства,Bombardier,20.0,н/д,741.0
196,Канада,Вертолетный тип,227.0,3.5,60.0,3000.0,Газотурбинный,,Снято с производства,Bombardier,45.0,н/д,142.0
197,Канада,Самолетный тип,210.0,0.5,70.0,3000.0,Газотурбинный,1.32,Снято с производства,Bombardier,120.0,н/д,720.0
198,Канада,Вертолетный тип,350.0,6.15,200.0,5500.0,Газотурбинный,,Снято с производства,Bombardier,100.0,н/д,157.0
199,Канада,Самолетный тип,635.0,19.0,300.0,5500.0,ДВС,,В производстве,Mist Mobility Integrated Systems Technology,34.0,н/д,61.0
200,Россия,Самолетный тип,1100.0,50.0,300.0,8000.0,ДВС,9.0,В производстве,Антиград-Авиа,500.0,н/д,450.0
201,Россия,Самолетный тип,0.25,0.6,1.5,500.0,Электрический,0.3,Снято с производства,Аэрокон,0.0,−30°C.. +50°C,72.0
202,Россия,Самолетный тип,1.3,1.0,45.0,500.0,Электрический,0.8,Снято с производства,Аэрокон,0.15,−30°C.. +50°C,150.0
203,Россия,Самолетный тип,6.5,2.0,200.0,4000.0,Электрический,1.5,В производстве,Аэрокон,1.0,н/д,150.0
204,Россия,Самолетный тип,500.0,12.0,500.0,6000.0,ДВС,8.07,Снято с производства,"Концерн ""Вега""",100.0,н/д,250.0
205,Россия,Самолетный тип,20.0,3.0,70.0,3000.0,ДВС,2.5,Снято с производства,Новик-XXI век,3.0,н/д,160.0
206,Россия,Самолетный тип,38.0,10.0,1200.0,4000.0,ДВС,4.4,В производстве,Транзас,,н/д,150.0
207,Россия,Самолетный тип,640.0,24.0,900.0,7500.0,ДВС,12.0,В разработке,Транзас,,н/д,210.0
208,Россия,Самолетный тип,85.0,8.0,900.0,4000.0,ДВС,4.6,Снято с производства,Транзас,,н/д,150.0
209,Россия,Самолетный тип,95.0,10.0,1200.0,4500.0,ДВС,5.4,В производстве,Транзас,32.0,н/д,150.0
